I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
mmu-miR-140-5p	0.0780657073333331	0.126862740333333	0.481036800333333	0.496623278666667	0.169179251	0.428831341666667
mmu-miR-140-3p	-0.309758988333333	0.0970487046666668	0.137135454666667	-0.354052798333333	0.595242402666667	0.0119164743333335
mmu-miR-141-5p	0.343886641333333	0.0343946893333333	-0.735953212666667	-0.817880942	-0.848365512666667	-1.130110241
mmu-miR-141-3p	-0.23128243	0.528504929	0.335678154333333	0.352358680333333	-0.261796048	0.0300323316666666
mmu-miR-142-5p	-0.67676583	-0.644338903333333	-0.831711243333334	-0.382658079999999	-0.309676713333333	-0.15732502
mmu-miR-142-3p	-0.538164996666667	-0.277481510000001	0.346382566666666	-0.240236816666667	-0.46549648	-0.443664453333334
mmu-miR-146a-5p	1.35551944733333	1.15826469733333	0.945396957333334	0.483565746000001	-0.109538574	0.070497602666667
mmu-miR-146a-3p	0.781054934333333	-0.077966398	-0.36604558	-0.731011093	-0.908172952666667	-0.519588337
mmu-miR-149-5p	-0.500463279666666	-0.339902714666667	-0.462781925333334	0.0898252283333332	0.735396272333333	1.26730069833333
mmu-miR-150-5p	-0.136279524666667	0.572254556666667	0.0343203993333332	0.440253157	-0.398599252666667	-0.520486615
mmu-miR-151-5p	-0.556530816	-0.755476331333333	-0.775844500666667	0.295907046333333	0.965908596666667	0.609760062
mmu-miR-151-3p	-0.646700262333333	-1.087775823	0.457735496	0.607843628666667	2.000933841	1.99142054666667
mmu-miR-152-5p	0.796523813333333	1.18954715133333	1.629669224	1.20840672733333	1.5981713	2.09147442433333
mmu-miR-152-3p	0.340513728	0.644263091	0.478436397	1.53926059966667	1.41014889433333	0.908964258333333
mmu-miR-155-5p	-0.12581946	-0.0932941133333334	-0.067635776666668	0.0506324133333328	-0.0105785833333331	0.22659612
mmu-miR-155-3p	-0.191635154333333	-0.0845430893333334	-0.155512108666667	0.400892511	-0.644554080333333	-1.33988036433333
mmu-miR-10b-5p	2.727723213	3.582898621	4.25732235633333	2.97297742	2.81698275233333	2.70946124033333
mmu-miR-181a-5p	-0.548963903333333	-0.56514245	-0.3213825	-0.205032016666666	-0.0748017633333333	0.172462336666667
mmu-miR-182-5p	-0.284436063333333	-0.292296406666667	-0.16176494	-1.15331310666667	-1.11479549666667	-1.47469914666667
mmu-miR-183-5p	-0.303680639666667	0.367552011333333	0.301430539333333	0.0218701903333333	-0.289807110666667	-0.273938693
mmu-miR-185-5p	-0.152195876666667	-0.150254764	0.198166154666667	0.0449445793333334	0.392120933333334	0.439703583666667
mmu-miR-185-3p	0.0973523906666666	-0.0196944029999999	0.278774939333333	-0.495489194	0.482290299	0.41189581
mmu-miR-186-5p	0.0176202666666659	0.0252486433333334	0.7845898	0.261097656666667	-0.196935483333333	-0.0333301966666664
mmu-miR-186-3p	-0.0954157763333332	0.0445630943333333	0.647069638333333	-0.165024985333333	-0.974207083666667	-1.39713582666667
mmu-miR-188-5p	1.71477888233333	2.34390074833333	2.04690918033333	2.451117507	2.89208215166667	2.98559479633333
mmu-miR-188-3p	1.75398213133333	2.51582373666667	2.71162819233333	3.19458954433333	2.82814184766667	3.09320843366667
mmu-miR-24-1-5p	0.411964974	0.660448055666667	0.464665893	0.194010058666666	-0.482532318333334	-0.778006596
mmu-miR-24-3p	0.278036556666667	0.216369293333334	-0.0630132233333332	-0.0955641066666667	-0.61623631	-0.700498013333333
mmu-miR-190a-5p	-0.126247223666667	-0.0858364653333334	0.142636392	0.126933941333333	0.787967945333333	0.591969251666667
mmu-miR-190a-3p	-0.267039820333333	0.149624715	0.116600790333333	0.180742451666667	-0.147611673	-0.243291071333333
mmu-miR-191-5p	0.108528449999999	-0.123371053333332	-0.0817107966666673	-0.558864563333334	-0.482506209999999	-0.439804023333334
mmu-miR-191-3p	0.380560890333333	-0.171145776666666	-0.505266817333333	-0.222708786666667	-0.248834071	-0.54548376
mmu-miR-193a-3p	-0.036325767	0.279296156	0.0322615553333333	-0.383327062666667	0.0505510353333334	0.388935785
mmu-miR-194-5p	0.0929996056666666	0.250055555333334	-0.0494690063333338	0.334766796666667	0.547481132333334	0.582308892333333
mmu-miR-195a-5p	0.163546667	0.0721206296666666	-0.0925537500000001	0.275302662666667	0.697566797333333	0.97140796
mmu-miR-199a-5p	0.00890836933333324	-0.888014178666667	0.198161288	-0.181236919	-0.340023359666667	-0.499850008666667
mmu-miR-200b-5p	-0.773944772666667	0.133686039666667	-0.949125885	-1.109396879	-1.36262009666667	-0.851957359
mmu-miR-200b-3p	-1.99460329166667	-0.947288060666667	-1.51564280033333	-0.533152215	-1.539708112	-1.745585941
mmu-miR-201-5p	-0.599826511	-0.735257878666667	-0.326538715	0.36770893	0.465518073333333	0.982927513333333
mmu-miR-143-3p	0.395934669	0.946281535333333	0.219707825	-0.572299638	-0.242956578	-0.204317878333333
mmu-miR-30e-5p	-0.294616965	0.145780914333333	-0.0866089579999999	-0.79161364	0.609428442666667	1.17119303533333
mmu-miR-30e-3p	-0.0594838933333328	0.113947736666666	0.558785303333333	0.107874963333333	0.568042803333333	0.201085419999999
mmu-miR-296-5p	-0.595367580333333	-0.292701289333333	-0.257789151	-0.655294251	-0.69032676	-0.997623982666667
mmu-miR-296-3p	-0.152132030333333	-0.287336396666667	-0.367863230333334	-0.335656727333333	0.261836976000001	-0.237116447
mmu-miR-298-5p	0.08842305	0.179013893333333	0.352343133333333	-0.400854586666667	-0.787935746666667	-1.0975919
mmu-miR-301a-5p	0.393583791333333	0.104639835333333	0.312951825	0.491543430333333	0.372369914333333	-0.135708199666666
mmu-miR-301a-3p	0.204029706666667	0.174495903333333	0.387629573333333	0.258516003333334	0.274543826666667	1.00232552
mmu-miR-34c-5p	-0.617435320666667	-0.510229973333333	-0.673713706333333	-1.20841657766667	-1.566341787	-1.56370759766667
mmu-miR-34c-3p	-0.439329613666667	-0.648596771666667	-0.709007976	-0.923363243	-1.419420429	-1.465978971
mmu-miR-34b-5p	-0.407479909666667	-0.18315745	-0.375305389333333	-1.53037554833333	-1.56568625833333	-1.56728155033333
mmu-miR-34b-3p	-0.858334727	-0.855548003333333	-1.378963872	-1.33183602666667	-1.917968815	-1.53847410133333
mmu-let-7d-5p	-0.114856646666667	-0.1335732	-0.258623213333334	0.273149560000001	-0.160872599999999	-0.42889285
mmu-let-7d-3p	-0.899512409	-0.331763295000001	-0.383090359	-0.48141723	-0.527453395333333	-0.344654264
mmu-miR-106a-5p	-0.297493824333333	-0.534084640333333	-0.736896222	-0.902212884333333	-0.953548664333333	-0.932352401666667
