Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Ivd	0.756832888013734	0.404833292541713	0.581079291095165	-0.816324997731915	-0.379878253531356	1.11073310641227
Rab8b	-1.77052425729728	-1.57633400431392	0.881945131277244	-1.87095917551034	-0.362614286881518	-0.893868250418034
Impa1	-1.29679053851023	-0.367339359331892	-0.97896830926015	-1.67035585945474	-0.696601409610654	-0.995839530561703
Csrp1	-0.929110505288968	1.35612465224185	0.166549165077534	1.47859697290394	-1.47159345772377	-0.74050864327942
Erlin2	-0.959457011087909	1.48758863172135	-1.33000511836243	-2.65789347297731	-2.09589894616311	-1.40797890294869
Erlin1	-0.959457011087909	1.48758863172135	-1.33000511836243	-2.65789347297731	-2.09589894616311	-1.40797890294869
Syk	-1.45943451249502	-0.060976929090371	-0.408625648584721	-4.28058271948171	1.69816397732592	1.66443456893365
Cops3	0.843825443514278	0.156507435018292	-0.617052110605705	-0.790572876907237	0.475408320052138	-2.05659997332064
Ccar1	1.41389457017751	0.632102444435371	-0.979497007303511	-5.80816137337088	1.61116734870689	0.136067194478635
Atxn2l	0.0486060017958723	-0.823777956071211	0.867185697466771	-1.72101067074747	-1.0965569694803	0.653585863434524
Lrrfip1	-0.559053224526594	1.26122377850287	-0.211341582738329	-2.97659654619158	0.415142903055512	0.518675278596537
Calu	0.254606345790889	-0.811311260727991	0.63801602944945	-2.81300475884856	-0.327006440658646	-0.308199071244712
Pmpcb	0.925578316758243	0.970959262802875	-0.91306247946453	-3.34137067860425	-0.453856094436681	-0.887284879217614
Cdk3	0.346602083390174	1.16478202827395	0.0924187209889305	-0.851810924465609	-0.139867857908128	0.0719429966284035
Cdk2	0.346602083390174	1.16478202827395	0.0924187209889305	-0.851810924465609	-0.139867857908128	0.0719429966284035
Bcat2	-0.630707233072587	0.0859100209464006	-0.591979214933573	-0.0130422527611109	-1.28064528199813	0.693998367150111
Ndufa3	-0.405293688707044	1.7045101440734	-1.01814816866801	-0.778388242948676	-0.926950408415913	-2.80419229273479
Coro1c	1.7499822365082	1.482931398239	-0.466081537778461	-2.29667752436099	2.48859558689403	1.20189486071767
Snx1	-0.814534712108613	0.956409095289347	-1.11674831521661	0.654196049908028	-1.31762621099357	1.01623351398616
Polr2c	-0.865800921515493	0.598797553020263	-1.20819418428333	-1.47095716503784	0.435127167676975	-0.743893074655662
Ndufs7	0.93987956696227	1.49379111073925	-0.60976837839778	-2.45167807705028	0.557933483921385	-1.28923758826408
Rad21	-2.66982571265845	1.05918485098984	-0.743811672068017	-3.49539856345651	-4.05671185006801	-0.432281671732982
Pelp1	-2.3092988368546	-0.838969718418882	0.690509615499698	-2.7348783863884	1.72703797255949	-0.913557952491876
Apmap	-0.254952768491574	-0.751206141316866	0.580083767211171	1.96893896942134	-1.18016093854491	-1.44946342278952
Idi1	0.166518870275192	2.19823440777622	-0.660141407789292	-0.768774676062683	-0.235625218374352	-0.679814615307327
Pgam5	-0.0671695817219984	0.233074039449027	-1.36053712270857	-1.73213692610348	0.598334070846658	-0.744423951514969
Emc8	0.0916737341051173	-1.98995601112681	0.790945880544905	-2.95777354824468	-1.95940558527856	-1.16957777753599
Slc7a1	1.51600823500845	0.144223994363606	0.756977112995804	1.50169210376929	0.941208025213245	-1.54679539287234
Tpd52l2	0.400307737394481	0.457943609404523	0.198145887770354	0.129378802184607	0.481080217076496	-1.02029624120934
Incenp	-0.107542024870115	-0.395882216822126	-0.64535339016642	-1.78306128682833	0.0788526374066976	-1.19171549192349
