#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000061758	0.294125935	-0.208206853	-0.019922989	-2.82e-05	-0.051014478	0.018880595
ENSMUSG00000067714	-0.070610637	-0.004254843	0.014428429	-0.216268833	-0.096812306	-0.215823957
ENSMUSG00000017718	-0.00215088057143	-0.405426629857	-0.387779356643	-0.602779952714	-0.357131914214	-0.597012361286
ENSMUSG00000026548	-0.110603855	0.105567115	0.061356246	-0.039718898	0.29831335	-0.055021209
ENSMUSG00000018401	0.237343498	-0.287807442	-0.50694937	-0.47658936	-0.47930242	-0.499641989
ENSMUSG00000017716	0.641101719	0.068024746	0.167449507	-0.038215094	-0.063646823	0.029067703
ENSMUSG00000017715	0.563253847	0.480126761	0.433247446	0.075824966	0.08825788	0.153272332
ENSMUSG00000032537	-0.600962709	0.165737258	0.131904368	0.553345431	0.16579452	0.423587986
ENSMUSG00000074182	0.125425465	-0.116391322	-0.013327775	-0.046735076	-0.112017804	-0.07623727
ENSMUSG00000032534	0.629166339	0.111950555	0.207160194	0.04848991	0.140124862	0.126388496
ENSMUSG00000021832	0.309597566	0.083297996	0.045772172	-0.011015231	-0.038526754	0.009979379
ENSMUSG00000021785	0.528927474	0.198774456	0.490505714	-0.015332963	0.411664699	0.17531075
ENSMUSG00000021830	0.206747548	-0.225491435	-0.133632026	-0.313757763	-0.303218273	-0.233178045
ENSMUSG00000021831	0.61485812	-0.180694183	-0.024418378	-0.134342506	0.133821009	0.046672341
ENSMUSG00000021838	-0.704861195	-0.405309256	-0.268819051	0.20129256	0.011405984	0.106082964
ENSMUSG00000024991	0.768723581	0.121314191	0.325433146	-0.100371501	0.071987359	0.027120549
ENSMUSG00000068638	0.602282303	0.390815901	0.539738993	0.301977289	0.710643603	0.470476953
ENSMUSG00000086795	0.375664972	0.422608694	0.099122937	0.145747729	0.236476831	0.136997558
ENSMUSG00000013833	0.338255698	-0.073940756	0.090776313	-0.016787402	-0.160218746	-0.018207788
ENSMUSG00000086799	0.429507911	0.061457092	0.204452301	-0.073458696	0.067956028	0.037675183
ENSMUSG00000019578	0.440355956	0.142278886	-0.019456855	0.107879774	-0.135906347	0.081928871
ENSMUSG00000019579	0.280554101	-0.077570742	0.411474393	-0.041605505	-0.042353545	0.026731732
ENSMUSG00000045639	0.016933801	-0.040510107	0.167108444	-0.266586914	-0.228669564	-0.254780027
ENSMUSG00000002250	0.568651994	0.010547465	0.145834503	-0.185406173	-0.289447238	-0.158687803
ENSMUSG00000033335	0.350233853	-0.320994927	-0.283105633	-0.281171185	-0.343472178	-0.29006073
ENSMUSG00000002257	0.315371883	-0.008221708	0.020497964	-0.321145574	-0.07516226	-0.301873736
ENSMUSG00000058230	0.734889987	-0.026169536	0.013590521	-0.456052063	-0.109772412	-0.336119221
ENSMUSG00000024668	0.536356288	0.135637807	0.174201952	-0.257350295	-0.15569736	-0.211602211
ENSMUSG00000024669	0.152188934	-0.065027048	0.694818808	0.060613154	0.15244238	0.142912933
ENSMUSG00000093619	0.057045084	-0.15588558	-0.352984611	-0.361687502	-0.589778971	-0.401224695
ENSMUSG00000024660	0.334665623	-0.162499871	-0.148433523	-0.220603037	-0.24443207	-0.200918333
ENSMUSG00000024661	0.7838288	0.256119478	0.163891578	-0.268457506	-0.15141029	-0.158458458
ENSMUSG00000024663	1.019142596	0.689691395	0.666547156	0.142681403	0.401681841	0.270014931
ENSMUSG00000050029	0.557934565	0.229738765	0.037979799	0.162434038	0.070503605	0.097040002
ENSMUSG00000024665	1.03206354	-0.357509402	-0.193469602	-0.84816835	-0.320646817	-0.692876265
ENSMUSG00000024666	0.141665327	-0.320717751	-0.024200189	-0.278566833	-0.055790734	-0.198489601
ENSMUSG00000024667	0.600925393	0.465449922	0.356976907	-0.153414992	0.137523778	-0.052109735
ENSMUSG00000032827	-0.800524742	0.081794822	0.369043349	0.498452711	0.323632399	0.509965119
ENSMUSG00000044043	-0.858518611	-0.217579821	-0.260764262	0.449066018	0.076862441	0.294234001
ENSMUSG00000030685	0.945781397	-0.041848205	0.568766885	0.155610487	0.2974309	0.335508467
ENSMUSG00000030680	0.077695401	-0.137753342	-0.311054102	-0.154419063	-0.255442563	-0.150219363
ENSMUSG00000059013	0.614260912	-0.079549827	-0.174982439	-0.233333739	-0.181272448	-0.245937091
ENSMUSG00000030689	0.123651836	-0.224711479	-0.082475303	-0.214462092	-0.311901326	-0.208589648
ENSMUSG00000030688	1.168559747	1.105196687	-0.022274325	-0.244410431	1.311506801	0.118723769
ENSMUSG00000096397	-1.050039119	0.102146864	-0.276455118	0.892316678	-0.023197221	0.646548809
ENSMUSG00000036309	0.151523	-0.202595289	-0.185801507	-0.208033612	-0.228339214	-0.223635943
ENSMUSG00000033486	0.634376453	0.269079782	0.320545526	-0.015166776	0.028736847	0.080850845
ENSMUSG00000033487	0.139122789	-0.009102771	-0.374982861	-0.35568711	-0.506277609	-0.4340704
ENSMUSG00000022842	0.016766986	-0.161588284	-0.08240692	-0.02730895	-0.099854872	-0.058991487
ENSMUSG00000022843	0.641040665	-0.054678118	0.047154843	-0.220389458	-0.096422838	-0.113468687
ENSMUSG00000022841	0.033793458	0.076985724	-0.060935596	0.299753337	0.095443467	0.361420388
ENSMUSG00000000078	0.364336934	-0.218567654	-0.196654917	-0.270666852	-0.298822931	-0.228723861
ENSMUSG00000050796	0.076002808	-0.056857728	0.533936756	-0.000111807	0.096783856	0.169886883
ENSMUSG00000022848	1.349765508	0.587981658	0.820250491	-0.135140339	0.519390872	0.174467114
ENSMUSG00000022849	0.53656031	0.099768426	0.55028499	0.081367859	0.150948206	0.191469222
ENSMUSG00000041679	0.417157567	0.088591978	0.052837589	-0.00570734	-0.053990342	0.038891119
ENSMUSG00000049470	1.169117428	0.524892945	0.394423967	0.104925714	0.587268908	0.425618245
ENSMUSG00000060808	-0.027411668	0.386268557	0.396082244	0.417930641	0.145585379	0.378890108
ENSMUSG00000047632	-0.093363652	0.5529259	0.056420565	0.021166232	-0.185641954	-0.073108081
ENSMUSG00000049476	0.829817318	0.267464628	0.52519845	0.03026593	0.158481	0.195671666
ENSMUSG00000030469	-0.05091813	-0.26339741	-0.253855541	-0.245126774	-0.236157788	-0.252107675
ENSMUSG00000030468	0.279269858	0.151438163	0.510924407	0.359149165	0.504054232	0.406764256
ENSMUSG00000024101	0.691501179	-0.090316321	0.139072037	0.056664847	0.129982247	0.13223329
ENSMUSG00000003233	0.687611832	-0.141737441	0.490579168	0.042897073	0.236356078	0.215587245
ENSMUSG00000030465	0.7231815022	0.2868888632	0.454133998	0.0014131804	-0.0671116454	0.042631635
ENSMUSG00000027318	0.090911873	0.101642982	0.236580591	0.176241508	0.304608355	0.155442447
ENSMUSG00000027649	0.521559827	-0.066450248	0.17403478	-0.041234685	-0.143534923	-0.013324164
ENSMUSG00000027642	0.456415824	-0.259372775	0.220288442	-0.291374646	0.051278217	-0.133204712
ENSMUSG00000027865	0.254940934	0.008804046	-0.022018773	-0.186360297	0.102984984	-0.039079275
ENSMUSG00000027312	0.748167102	0.324176639	0.476441459	0.0378666	0.245465999	0.177791117
ENSMUSG00000041491	0.433285552	0.087160293	0.630950451	0.318888555	0.42889024	0.475013825
ENSMUSG00000090394	-0.001296777	-0.119054468	-0.02926308	-0.501750573	-0.237208743	-0.523566862
ENSMUSG00000001767	-0.080734439	0.074761184	0.180686041	0.033683567	0.06881742	0.087876462
ENSMUSG00000092222	-0.01522708	0.515298115	0.338519228	0.373374476	0.385103669	0.37755369
ENSMUSG00000040811	0.796194524	-0.097429962	0.251643118	-0.297853419	0.041874743	-0.153074208
ENSMUSG00000051518	0.072977491	-0.075786059	0.283616976	-0.176055295	-0.105591101	-0.116446015
ENSMUSG00000004319	0.337511014	-0.107820208	-0.260537297	-0.450036539	-0.295410306	-0.394555526
ENSMUSG00000004317	0.223412202	-0.087617265	0.012134281	-0.269614219	-0.213808748	-0.240331373
ENSMUSG00000001763	0.353891381	0.094728437	0.133932371	-0.011319358	0.019141385	0.047722424
ENSMUSG00000040818	0.450818099	0.08405043	0.451065246	0.320943934	0.159335804	0.381182755
ENSMUSG00000051510	0.420876348	0.060152377	0.278818236	-0.232205789	0.016633818	-0.073931883
ENSMUSG00000096931	-0.471536197	-0.448909473	-0.628916975	-0.447378707	-0.508890872	-0.518988028
ENSMUSG00000011158	0.611620941	-0.295812048	-0.083397544	-0.29246672	-0.046630217	-0.117751049
ENSMUSG00000096932	0.678789362	0.429071878	0.694080578	0.138302161	0.357132182	0.265515598
ENSMUSG00000024430	0.42671494	-0.121358064	0.131300823	-0.203408523	-0.060118717	-0.135840513
ENSMUSG00000063236	0.065411611	-0.159809584	0.3034944	0.023068846	0.230457263	0.047320372
ENSMUSG00000031229	0.082703591	0.258502273	0.007497476	-0.282641242	-0.129316912	-0.243306103
ENSMUSG00000031226	0.241114409	-0.139694496	0.269861684	-0.23225651	-0.052236287	-0.102042673
ENSMUSG00000031221	0.091839228	0.008849303	0.132735976	-0.008139174	-0.094909075	0.022939105
ENSMUSG00000095704	-0.276388233	0.391609794	0.638406528	0.27350251	0.439540084	0.262309908
ENSMUSG00000047098	0.389802226	-0.190420924	-0.177886858	-0.177133231	-0.128794976	-0.170932066
ENSMUSG00000085175	0.996170157	0.179381139	0.452207765	0.055032715	0.282243603	0.212328765
ENSMUSG00000040723	0.783233821	0.274352442	0.309857212	0.341402014	0.747172584	0.548692441
ENSMUSG00000040721	0.163204588	-0.024021873	-0.267824988	-0.311527598	-0.253949558	-0.28167507
ENSMUSG00000040720	0.435960455	0.009197595	-0.292553539	-0.137555128	-0.368626315	-0.166077296
ENSMUSG00000085178	0.025973577	0.105726076	-0.083070273	0.06103809	0.215424674	0.053748706
ENSMUSG00000040725	0.544128032	-0.200500187	-0.074434634	-0.262531114	-0.267777217	-0.227711841
ENSMUSG00000022982	0.76307001	-0.010207454	0.292438802	-0.091125714	0.031536129	0.008686888
ENSMUSG00000048709	0.846888842	-0.139754558	0.541772713	-0.621605764	0.224448198	-0.323087994
ENSMUSG00000061983	0.186110554	-0.04715373	0.317964039	0.135276801	-0.045604192	0.205165968
ENSMUSG00000042195	0.219849621	0.214851639	0.320571053	0.140307347	0.362565856	0.222629382
ENSMUSG00000039414	0.605575748	0.038939841	-0.148271072	-0.162356574	-0.075783542	-0.080537315
ENSMUSG00000070357	-0.303979645	0.773350575	0.084653134	0.342989429	0.65000986	0.414563936
ENSMUSG00000048707	0.256726425	-0.151682881	-0.246401513	-0.187710268	-0.215071564	-0.155863146
ENSMUSG00000073643	0.604352563	-0.388216302	-0.060006907	-0.383851817	-0.262031173	-0.313972667
ENSMUSG00000021012	0.887150229	0.027709849	0.506213058	0.06480598	0.233438603	0.226551111
ENSMUSG00000027379	0.417101295	0.156728957	0.282712153	-0.260184169	-0.12900073	-0.194063169
ENSMUSG00000021018	0.641040665	-0.054678118	0.047154843	-0.220389458	-0.096422838	-0.113468687
ENSMUSG00000052155	1.448129459	0.411437295	0.821056455	0.23665878	0.607389196	0.565518851
ENSMUSG00000027378	0.621541496	0.339353856	0.295806262	0.215037252	0.289718222	0.26692473
ENSMUSG00000089656	-0.349258944	0.011327344	-0.124203437	0.337607018	0.277347105	0.332227562
ENSMUSG00000049717	0.36196071	-0.057180204	0.045292518	-0.120865832	-0.100517803	-0.027301821
ENSMUSG00000089872	-0.605296484	0.10117604	-0.76261312	-0.159480084	-0.078550196	-0.304070795
ENSMUSG00000057322	0.338994418	-0.267925798	0.131479599	-0.070867018	-0.159199341	-0.029737209
ENSMUSG00000004113	-0.035278596	0.090691422	0.524855962	-0.051238187	0.022133615	-0.000725793
ENSMUSG00000043832	0.179126197	-0.140387502	0.402938661	0.037375819	0.523960189	0.127509655
ENSMUSG00000057329	1.013013131	0.277317198	0.749881088	0.378590949	0.345199125	0.51917333
ENSMUSG00000025257	0.404537946	-0.190963473	-0.037525548	-0.055884381	-0.176496562	-0.043799001
ENSMUSG00000027371	0.28220849	-0.121898718	-0.15065905	-0.090985847	-0.050865155	-0.080013297
ENSMUSG00000034761	1.089580925	0.276397133	0.296272872	0.110224945	0.091977663	0.306147856
ENSMUSG00000034765	0.675767385	-0.134386911	0.131299899	-0.181256738	-0.017618637	-0.062575146
ENSMUSG00000027353	0.371070091	-0.159280802	0.061449744	-0.067979465	-0.052252653	0.000877576
ENSMUSG00000009406	0.230842942	-0.422255058	-0.406542927	-0.187355469	-0.280129883	-0.21885886
ENSMUSG00000029577	0.53047409	0.071817689	0.295831273	0.000424931	0.046201587	0.059347526
ENSMUSG00000029575	0.225152619	-0.082523826	-0.169412371	-0.242766736	-0.263425678	-0.284503139
ENSMUSG00000029571	0.529105005	0.076319191	0.070603516	-0.10225332	-0.057357954	-0.033882588
ENSMUSG00000029570	-0.601492851	-0.512955013	-0.907300952	-0.507674712	-0.759669001	-0.761033497
ENSMUSG00000023940	0.60602913	-0.01902291	0.195050263	-0.201259142	0.05737779	-0.115947095
ENSMUSG00000086264	0.3670344	-0.138877523	0.142191168	-0.151595469	-0.172878274	-0.127548374
ENSMUSG00000023942	1.184229388	0.503379649	0.343759285	-0.254389627	0.358351	-0.04010536
ENSMUSG00000023944	0.682687451824	-0.237683034235	-0.0812738059412	-0.403485425	-0.0874329772941	-0.324192539235
ENSMUSG00000023947	0.762181527	0.090419171	0.070756041	-0.188170183	0.042893957	-0.015106325
ENSMUSG00000096950	0.899089939	0.138707926	0.159569137	-0.318519111	0.211952504	-0.100339941
