Gene name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000019917	0.0975348371874	0.0733574357835	0.0195014491806	0.0456817971602	0.0416766354745	0.0641130356907
ENSMUSG00000004948	-0.124261312649	-0.0687726554697	0.0685612705947	-0.0650822805016	-0.105233115309	-0.0924686021644
ENSMUSG00000078607	0.182344985316	0.0527229962317	0.154338553178	-0.0183344410074	0.00593759026404	0.024527569699
ENSMUSG00000095334	0.134836032507	-0.14939467963	0.272592806946	0.0119008298734	0.15839427792	0.102770226802
ENSMUSG00000004945	0.173911022884	0.0369281847479	-5.26154475326e-05	-0.0796797192255	-0.0765791686593	-0.070223997267
ENSMUSG00000027405	0.0662827310209	-0.0432357231076	-0.0440654510459	-0.104333999872	-0.0802207077186	-0.0880138294918
ENSMUSG00000064128	0.071835173277	0.0425992711812	0.00775084411322	0.0538657427716	0.0581552171368	0.0769512601163
ENSMUSG00000020361	0.0481207847205	-0.0543441447587	-0.0305310046762	-0.0790614503779	-0.0329278572332	-0.0686083461319
ENSMUSG00000064127	0.129394551851	0.0040855275526	0.067179202411	-0.0374938553541	0.0203123857771	0.0103047507605
ENSMUSG00000018209	0.137696674169	-0.0587004878745	-0.0379075085032	-0.0676501769611	-0.0669207138785	-0.0640602663126
ENSMUSG00000020305	-0.00156972043012	-0.0485241683807	0.0648858555542	-0.0149709870684	-0.00915096886729	0.00474919558942
ENSMUSG00000030924	0.141764886569	0.00450892847286	0.0490795889089	-0.00753245841551	-0.00933891483772	0.010841550631
ENSMUSG00000054074	0.123884925823	-0.0542581640567	-0.0985203340022	-0.0560557919789	0.0522711288135	0.00218492992129
ENSMUSG00000042055	0.0644796148753	-0.00539526821626	0.116562589767	-0.0602924452443	-0.0673592457902	-0.056398738239
ENSMUSG00000087575	0.1328113051	0.0158308070182	-0.0202200520688	-0.106734822434	-0.0299894671318	-0.112798423476
ENSMUSG00000030921	0.215227183904	0.140948972327	0.116368116134	0.00617927922772	0.062152341606	0.0348652569137
ENSMUSG00000048280	0.00153990802941	-0.0171342764205	0.0138022092321	-0.0534379362579	0.00184594830655	-0.0329468283508
