Prot_name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
Dync1li1	0.0666308383336721	-0.0145021010352388	-0.0359241042616619	-0.0851333962828055	0.136452764752187	0.104866967091465
Kif2c	0.0104411696391967	0.145107628655154	0.0927307836288013	0.0731590094214867	0.0583001114576958	-0.000191116231414257
Mrpl41	-0.0158331014714261	-0.0727148683391999	0.0157518058689623	-0.0203041943344595	-0.0236242882713874	-0.106282698614018
Ptplb	-0.00175293536124889	-0.0153611189890887	0.0116192814928579	0.00653281493325711	0.0679650524569586	-0.0283709562488497
Cpsf1	-0.0194318012084779	0.0284509771326369	-0.0184473217014397	-0.0131481697666993	-0.0148627427931958	-0.113291817825706
Timm8b	0.155488338434589	-0.07725892572045	-0.379065036768837	-0.0391275018338545	-0.0914806273664777	-0.136425649874915
Lsm6	-0.023100486358149	0.0596486279648206	-0.0217688764222041	-0.039258635730378	0.0068301024879379	-0.0706767701300924
Mak16	0.0674949680760115	0.0472993573468343	-0.082455925479185	-0.116136459539787	-0.191157489115182	-0.0580231144543815
Mrpl15	-0.00727245892593697	0.00191893626092551	-0.00330919901271404	-0.0653425441207477	-0.0525135780754176	-0.068997364570357
Gtf2e1	-0.0895115225974592	-0.0459555787710182	-0.075987043426212	-0.182875912073774	-0.139477172830468	-0.0099323950375714
Slc25a13	-0.00470315321667221	0.100424344304109	-0.103602474133997	-0.0631417351637237	-0.127622746473948	-0.134045281868816
Prkar2a	0.0277726841833414	0.011728631528865	-0.0311241322164253	-0.0284054577818245	-0.034615500056974	-0.0517465698539033
Grwd1	-0.00962508427037458	-0.0706463281729027	-0.0946904410625009	-0.101205451774256	-0.109539261953017	-0.083842817809161
Mrps18b	0.0635188470401558	-0.0232095491073391	-0.0278592039960152	-0.118770095132516	-0.108593784245447	-0.130212131760179
Lrrc40	-0.00548616595700048	0.000572002954559925	-0.0711052912897223	-0.0621571670480666	-0.0738379444323833	-0.11558866134558
