gen	0_Ik	2_Ik	6_Ik	12_Ik	18_Ik	24_Ik
ENSMUSG00000034707	0.947546754	1.064929503	1.067879248	1.028325302	1.026008117	0.999793999
ENSMUSG00000034707	0.986527311	1.028923749	0.98365684	1.025408844	0.990837727	1.010918815
ENSMUSG00000034707	0.994757041	1.343365305	0.785483826	1.014432826	0.975056534	0.960473675
ENSMUSG00000025795	1.018583026	1.0436509	1.039271259	1.019225687	1.024577256	1.010888181
ENSMUSG00000020115	1.541007624	1.126997353	0.967166772	1.026334798	1.038947121	1.12809723
ENSMUSG00000020115	1.009788708	1.421683585	0.856927544	0.97767051	1.046368384	0.946088232
ENSMUSG00000020115	1.059340054	1.06780538	1.033255734	1.025110891	1.041663922	1.015303465
ENSMUSG00000034667	1.006388344	1.01245981	1.028759376	1.021921856	1.01974781	1.016581866
ENSMUSG00000047642	0.721131343	1.240236786	1.210888275	1.027130285	1.066076638	0.916359335
ENSMUSG00000047642	1.050392163	0.893953087	0.979541524	0.973954854	0.908739265	0.986043925
ENSMUSG00000053684	1.012786767	1.05758167	1.055021807	1.02992925	1.051104112	1.025744737
ENSMUSG00000020121	0.95082704	0.674177039	1.668495053	0.875235746	0.987693775	0.835512674
ENSMUSG00000034620	1.076035102	0.992361397	1.019386218	1.018305736	1.043012678	1.033519256
ENSMUSG00000034613	0.933316173	1.085137929	0.744589172	0.930606091	1.086816755	1.01644521
ENSMUSG00000034613	0.948465652	1.025464322	0.855464553	1.067274669	1.02360052	1.106823814
ENSMUSG00000065406	1.148457695	1.016508645	1.113131875	1.020289911	0.998900015	0.983054606
ENSMUSG00000034602	1.238633788	1.095333905	1.105209322	1.094904442	1.091028281	1.091619875
ENSMUSG00000020124	0.94175267	1.088650286	1.04558633	1.064746482	1.047299115	0.977511809
ENSMUSG00000020124	1.113470342	1.05846907	1.041380633	1.035102849	1.014976126	1.021734293
ENSMUSG00000044071	0.99951821	1.026191979	0.99955238	1.179024326	0.962113001	1.12584826
ENSMUSG00000025436	1.113243132	1.016626482	1.114097649	1.042000859	1.064355588	1.038355941
ENSMUSG00000078429	1.072324465	0.987672908	0.976451117	0.973933419	0.999525005	0.978665416
ENSMUSG00000078429	0.76146315	1.286938612	0.803431781	1.170639928	0.75603405	0.964165574
ENSMUSG00000065430	0.969600459	1.067137858	0.90453058	1.0175562	0.651574792	0.86024555
ENSMUSG00000025432	0.92323222	1.103744572	1.376861695	1.048182467	1.221064696	1.091985705
ENSMUSG00000040521	1.063277926	1.101391452	1.173721279	0.944715813	1.28512173	1.07384271
ENSMUSG00000040521	1.062161351	1.060389919	1.014119019	1.0024661	0.995792629	0.97069776
ENSMUSG00000080115	1.030296995	1.049089108	1.079662216	1.009310786	1.048149734	0.998594783
ENSMUSG00000040502	1.082294281	1.027695206	0.862086822	0.967584795	0.7947698	0.820415024
ENSMUSG00000006728	1.087315433	0.99839977	1.021898094	1.012830921	1.001345762	1.016037076
ENSMUSG00000006736	0.978181482	0.996512577	1.000864819	0.98136308	0.989535996	0.97595967
ENSMUSG00000025422	0.940556619	1.020482603	0.857409198	1.048401369	1.005655686	1.129075794
ENSMUSG00000040462	1.046361135	0.977818155	0.952923246	1.006872744	1.002219902	1.015098934
ENSMUSG00000006731	1.108384436	1.039160386	1.007737947	1.020412206	0.988586069	1.01077642
