Gene	I/C_0h	I/C_12h	I/C_18h	I/C_24h	I/C_2h	I/C_6h
ENSMUSG00000001065	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001098	-0.223508992	0.283311456	-0.331679068	-1.877501317	0.514520678	0.14901162
ENSMUSG00000001100	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001105	0.343886641	-0.817880942	-0.848365513	-1.130110241	0.034394689	-0.735953213
ENSMUSG00000001123	0.171793955	0.711736655	1.570100778	1.781236774	0.445968122	-0.103071846
ENSMUSG00000001127	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000001128	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001134	1.570610243	1.589203971	0.964547573	0.67238408	1.40992324	1.373342927
ENSMUSG00000001138	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001143	-0.40747991	-1.530375548	-1.565686258	-1.56728155	-0.18315745	-0.375305389
ENSMUSG00000001150	0.22137668	-0.055182635	-1.101062264	-1.730774626	0.212964062	-0.008261878
ENSMUSG00000001151	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001156	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000001157	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001158	-0.910694985	-0.945940064	-1.153210941	-1.636974645	-0.310863766	-0.341041515
ENSMUSG00000001166	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001173	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001175	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001229	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001240	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000001247	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000001248	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000001280	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001281	0.08842305	-0.400854587	-0.787935747	-1.0975919	0.179013893	0.352343133
ENSMUSG00000001285	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001288	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000001289	-0.50046328	0.089825228	0.735396272	1.267300698	-0.339902715	-0.462781925
ENSMUSG00000001300	-0.310947913	-0.030634383	0.375213827	1.345914221	0.125657011	-0.560333627
ENSMUSG00000001305	1.529470068	2.169401353	2.549166379	3.464452818	1.797928033	1.710856394
ENSMUSG00000001313	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000001366	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
