compound	IKvsCtr_0h	IKvsCtr_2h	IKvsCtr_6h	IKvsCtr_12h	IKvsCtr_18h	IKvsCtr_24h
Leucine	0.1605294011	0.0759601029	-0.0496445663333333	-0.104074883266667	-0.0360527752666667	-0.106049061233333
Isoleucine	0.163158840766667	0.0736643820666667	-0.0505180842666667	-0.102810591366667	-0.0378875916666667	-0.113119906833333
Proline	0.176131717333333	0.0837366943333333	-0.0267898966333333	-0.216030083966667	-0.144814894633333	-0.2241332159
Serine	0.114302233166667	0.0703140241	-0.0411386543333333	-0.323628422566667	-0.0973635085333333	-0.1590885129
Threonine	0.163965073433333	0.0708458617666667	-0.0235923522333333	-0.156988874533333	-0.0794773433666667	-0.148390110133333
Glutamic.acid	0.1872375648	0.0857812719666667	-0.00346861676666667	-0.230140654166667	-0.259734293166667	-0.324371678
Phenylalanine	0.160043035633333	0.0717628756	-0.0489351082333333	-0.118196568966667	-0.0450425818333333	-0.1189530717
Asparagine	0.1780984673	0.0700848169	-0.0290017843666667	-0.161140537666667	-0.104286441966667	-0.163650255266667
Glutamine	0.1843990019	0.0767584721666667	-0.0339722676666667	-0.124132666	-0.0762048060333333	-0.150560552333333
Lysine	0.156735403466667	0.0682007643666667	-0.0457818239333333	-0.1356842274	-0.0184004382	-0.0866513387666667
Tyrosine	0.156935574633333	0.0697414755333333	-0.0501618729333333	-0.122512903766667	-0.046157904	-0.117616237
Tryptophan	0.1492329522	0.0652174334	-0.0445123510333333	-0.179060438433333	-0.0512403836666667	-0.120285374233333
Glycine	0.202048077033333	0.0836477537666667	0.0283861663666667	-0.313325726266667	-0.207607897542023	-0.269768651633333
Methionine	0.1130573934	0.0559530384333333	-0.0412165053	-0.0951737067666667	-0.0168155602	-0.121800658866667
Beta.alanine	0.0801874803666667	0.0445867358495425	0.0704357950666667	-0.156506256633333	-0.184813082	-0.195376018966667
Pipecolic.acid	0.089107011	0.0223009138666667	-0.0494355223333333	-0.0674308685666667	0.0703038284333333	-0.089150276
L.histidine	0.1307655379	0.0688017489	-0.0462534714333333	-0.291404593833333	-0.0527329191333333	-0.1306990423
L.4.hydroxyproline	0.187895532433333	0.0991774178	-0.0472721355	-0.1744324898	-0.104055286	-0.206716289333333
taurine	0.284569744566667	0.139835642533333	0.0999875232	-0.234946633166667	-0.365193249033333	-0.498872201133333
glycylglycine	0.173441875566667	0.0688202824333333	-0.0286409000333333	-0.1807673006	-0.107838141633333	-0.1612272021
L.arginine	0.152580123233333	0.0550912631	-0.0469536750666667	-0.0775425891333333	-0.0211235324	-0.0637589026666667
L.homoserine	0.146885031633333	0.0198081385666667	-0.0470671789	-0.237254609266667	-0.2772434582	-0.330932165
L.aspartic.acid	0.261476354766667	0.100316270633333	0.0480620473	-0.1668417419	-0.0378632734	-0.0701900162333333
ethanolamine	0.00650926163333333	0.0266247281	-0.0522719546666667	-0.171470098166667	0.0131005303666667	-0.0468769000666667
L.methionine.sulfoxide	0.100795932433333	0.0665781818333333	-0.0638471198666667	-0.1381262704	0.0393517549	-0.1510872388
gamma.aminobutyric.acid	0.240846100666667	0.151703765533333	0.1391877513	-0.253110849766667	-0.3425655115	-0.372745669266667
L.2.aminoadipic.acid	0.1751218399	0.0509478865666667	-0.0246667894333333	-0.170474623333333	-0.151201363266667	-0.328525003066667
L.alpha.aminobutyric.acid	0.180241752266667	0.1182910204	-0.0469077171666667	-0.1273569372	-0.0756069137	-0.114538851233333
