Gene	Ik_0H	Ik_2H	Ik_6H	Ik_12H	Ik_18H	Ik_24H
ENSMUSG00000000216	-0.788550541671958	-0.438596940274019	-0.575626509151051	0.0228279869219028	-0.340827657923515	-0.779907012395179
ENSMUSG00000000223	-0.0699024880611307	0.0567680030903945	-0.0815994219943134	-0.0507835977101124	-0.0304517258376111	-0.13945828960324
ENSMUSG00000000244	0.00998608075875413	0.0189424229280751	0.00447522855712471	0.0699120108972415	0.0462564753509175	0.085638117746874
ENSMUSG00000000247	0.00427762242604478	-0.0476468089038216	0.0428261855592883	-0.013253013248485	-0.0518239382680274	-0.155968023112226
ENSMUSG00000000248	-0.951128592004762	-0.272262185223988	-0.446093230054321	-0.11555250171255	0.371478459139973	-0.152488296000175
ENSMUSG00000000253	0.196877713480108	0.264376714570941	-0.410342975739489	0.277744423545634	0.161255784251808	0.23632750990867
ENSMUSG00000000263	-0.865496198280185	-0.539108827941939	-0.706403747068571	-0.075231690818412	-0.328274023020075	-1.03719265342065
ENSMUSG00000000266	-0.492827804366599	-0.463635831365531	-0.935325645737913	0.223319788760886	-0.577303071071927	-1.01842418926555
ENSMUSG00000000275	0.0157964995308015	-0.0450378780337593	0.0591013878887881	0.00782188049614737	0.057899135276694	0.0207218006531376
ENSMUSG00000000276	0.0477275809284687	0.0518480103294273	0.00654489439784745	0.00483601096426523	-0.0321529171437376	-0.0723560836814872
ENSMUSG00000000278	0.106469100071304	0.0742605410021435	0.153839468976902	0.100162813870486	0.14546091393384	0.212796584278713
ENSMUSG00000000282	-0.0162860306178083	-0.048933315450566	0.0332303769733131	0.0300421927082254	0.0503987627993884	0.0283036492545785
ENSMUSG00000000290	-0.038887159397934	0.0147821356086048	0.0747685574797296	0.0819705710787449	0.0371430185501884	0.0461093666065586
ENSMUSG00000000295	0.0133053266562554	0.0390989244880193	-0.0203344781398946	-0.110571559030394	-0.173602422880689	-0.196263556756652
