prot	IKA0h	IKA2h	IKA6h	IKA12h	IKA18h	IKA24h
Pygb	-0.0107316903076889	-0.0300869088314775	0.0338917055395523	0.0222648943273546	0.083153516956488	-0.0177631263528562
Ptprcap	-0.0497251485717347	-0.0289089791376656	-0.00592089236527449	0.0236486050433004	0.0696995224398574	0.0505608043749993
Rps19	-0.0159751578598912	-0.00814450901031527	0.0146001965948709	0.00802729208009856	-0.0823911135597445	-0.190855956731157
Ly9	0.0492334174904309	0.101186358274217	0.040927112788042	0.0571437956460749	0.0674493323763797	0.130375788976288
Vps4b	0.00312009393207235	-0.0205915890207011	-0.00109416324557698	0.00186249886899897	0.00814095408183468	0.0110995745803297
Lypla2	-0.078036676722965	-0.107654139756432	-0.0676490137774627	-0.0398190020312128	-0.0288802097561103	-0.0332801714182048
Lsp1	-0.0288265790716684	0.0604348706202085	-0.00415098028050864	0.0909294328136662	-0.0858555041405957	0.00992710446503725
Lsm4	-0.0323907677477062	0.000724417919393094	-0.0534335662796168	-0.0472214266939758	-0.0798982208654753	-0.0271085897768181
Sumo2	-0.0697489808179186	0.0608506131013398	-0.00629277635282144	-0.0304945934529959	0.0219425011889711	-0.0530952630204711
Eif4b	-0.0297108387586787	0.0783527279945653	0.0321300519950813	-0.0039180939197283	0.0099569451020689	-0.0590678291036649
Psma1	-0.108273191479108	0.0301863427682013	-0.03295712280969	-0.162423047025046	0.104014140751111	-0.0119351971602818
Cdv3	-0.153597555357863	-0.0776564068884731	0.0136437432356766	-0.0146553900527716	0.011980710202316	-0.262642170831748
Hprt1	-0.0178449916167207	0.0738075297480839	-0.00329692229541101	-0.077649546151868	-0.00471713855077227	-0.0650848786062319
Wdr46	-0.0546753928315054	-0.0181403436673525	-0.0725036560503863	-0.0852102295949553	-0.100849887375451	-0.0575320815770395
Smek1	0.0537865251617247	0.0134906607785938	-0.0582670881950013	-0.0469770281245706	-0.159187102958137	0.0091395985828584
